cycle	proposal_code	mous_uid	science_goal_uid	group_uid	eb_uids	sample_role	qa2_status	array	band	spectral_setup	casa_version	pipeline_version	procedure	outer_auxiliary_tar	auxiliary_bytes	outer_members	member_categories	calibration_payload	auxproducts_helpers	qa_payload	weblog_ms_views	product_datalink_file_rows	notes
4	2016.1.00004.S	uid://A001/X879/Xea	uid://A001/X879/Xe8	uid://A001/X879/Xe9	uid://A002/Xc4b006/X3d5c	primary_pass	PASS	TM1	6	unknown	4.7.2	none	manual	<deleted-scratch>/sample/cycle4/2016.1.00004.S_uid___A001_X879_Xea_auxiliary.tar	77199872	419	calibration;log;product;qa;script	calibration.tgz;expanded calibration.plots;ms.wvrgcal;log.tgz;manual imaging mask.tgz	none	three QA2 PNG parts;plain QA text;no weblog	manual package;none	2	Manual scriptForCalibration.py and scriptForImaging.py; no PPR, manifest, auxproducts, or pipeline weblog. Current DataLink product rows are two direct FITS files with historical manual/B6/image tokens.
5	2017.1.00017.S	uid://A001/X1289/X1a1	uid://A001/X1289/X19f	uid://A001/X1289/X1a0	uid://A002/Xd29c1f/X33a	primary_pass	PASS	TM1	6	FDM	5.4.0-68	42030M (Pipeline-CASA54-P1-B)	hifa_calimage	<deleted-scratch>/sample/cycle5/pass/2017.1.00017.S_uid___A001_X1289_X1a1_auxiliary.tar	205346816	19	calibration;log;qa;script	auxproducts.tgz;session_2.auxcaltables.tgz;session_2.caltables.tgz;ms.flagversions.tgz;ms.calapply.txt;target.ms.auxcalapply.txt	antennapos.csv;cont.dat;flux.csv;flagtemplate;flagtsystemplate;flagtargetstemplate	weblog;QA2 PDF+HTML;two QA0 PDF forms;QA0 HTML	.ms;_target.ms	66	Manifest filename contains duplicated calimage token. SESSION_1 is empty and SESSION_2 holds the EB. No machine AQUA/applycal-outlier file found in weblog.
6	2018.1.00035.L	uid://A001/X133d/Xb5a	uid://A001/X133d/Xb31	uid://A001/X133d/Xb59	uid://A002/Xd99ff3/X7395	primary_pass	PASS	TM1	6	FDM	5.4.0-70	42254M (Pipeline-CASA54-P1-B)	hifa_calimage	<deleted-scratch>/sample/cycle6/2018.1.00035.L_uid___A001_X133d_Xb5a_auxiliary.tar	179041280	17	calibration;log;qa;script	auxproducts.tgz;session_1.auxcaltables.tgz;session_1.caltables.tgz;ms.flagversions.tgz;ms.calapply.txt;target.ms.auxcalapply.txt	antennapos.csv;cont.dat;flux.csv;flagtemplate;flagtsystemplate;flagtargetstemplate	weblog;QA2 PDF+HTML;QA0 PDF	.ms;_target.ms	51	One active reducer flag command occurs in flagtemplate. No machine AQUA/applycal-outlier file found in weblog.
7	2019.1.00003.S	uid://A001/X1470/X2ef	uid://A001/X1470/X2ed	uid://A001/X1470/X2ee	uid://A002/Xeaae1d/X1a92	primary_pass	PASS	TM1	6	Mixed	6.1.1.15	2020.1.0.40	hifa_calimage	<deleted-scratch>/sample/cycle7/2019.1.00003.S_uid___A001_X1470_X2ef_auxiliary.tar	171313152	17	calibration;qa;script	auxproducts.tgz;session_1.auxcaltables.tgz;session_1.caltables.tgz;ms.flagversions.tgz;ms.calapply.txt;target.ms.auxcalapply.txt	antennapos.csv;cont.dat;flux.csv;flagtemplate;flagtsystemplate;flagtargetstemplate	weblog;QA2 PDF+HTML;QA0 PDF	.ms;_target.ms	62	casa_commands.log is under script rather than log. Weblog includes a byte-identical PPR copy named from SBStatus UID. No machine AQUA/applycal-outlier file found.
8	2021.1.00018.S	uid://A001/X15b8/X11	uid://A001/X15b8/X9	uid://A001/X15b8/X10	uid://A002/Xf7ad58/X1cf	primary_pass	PASS	TM1	7	TDM	6.2.1.7	2021.2.0.128	hifa_calimage_renorm	<deleted-scratch>/sample/cycle8/2021.1.00018.S_uid___A001_X15b8_X11_auxiliary.tar	151677952	15	calibration;log;qa;script	auxproducts.tgz;session_1.caltables.tgz;ms.flagversions.tgz;ms.calapply.txt	antennapos.csv;cont.dat;flux.csv;flagtemplate;flagtsystemplate	weblog;QA2 PDF;QA0 PDF	.ms;_target.ms	70	No auxcaltables, auxcalapply, or flagtargetstemplate in sample. PLDriver_report.xml capitalization differs from later filenames. Two active flag commands occur across the flag/Tsys templates.
9	2022.1.00014.S	uid://A001/X2d20/X3ee5	uid://A001/X2d20/X3eda	uid://A001/X2d20/X3ee4	uid://A002/Xff45a6/X10904	primary_pass	PASS	TM1	6	FDM	6.4.1.12	2022.2.0.64	hifa_calimage	<deleted-scratch>/sample/cycle9/pass/2022.1.00014.S_uid___A001_X2d20_X3ee5_auxiliary.tar	179034112	15	calibration;log;qa;script	auxproducts.tgz;session_2.caltables.tgz;ms.flagversions.tgz;ms.calapply.txt	antennapos.csv;cont.dat;flux.csv;flagtemplate;flagtsystemplate	weblog;QA2 PDF;QA0 PDF	.ms;_targets.ms;_targets_line.ms	54	SESSION_1 is empty and SESSION_2 holds the EB. Pipescript runs hifa_renorm despite plain hifa_calimage recipe. Weblog first sampled with pipeline_aquareport.xml and applycalQA_outliers.txt. Two active reducer flag commands.
10	2023.1.00026.S	uid://A001/X3621/X3d68	uid://A001/X3621/X3d66	uid://A001/X3621/X3d67	uid://A002/X1175218/X10e8	primary_pass	PASS	TM1	6	FDM	6.5.4.9	2023.1.0.124	hifa_calimage_selfcal	<deleted-scratch>/sample/cycle10/pass/2023.1.00026.S_uid___A001_X3621_X3d68_auxiliary.tar	271253504	15	calibration;log;qa;script	auxproducts.tgz;s1.caltables.tgz;ms.flagversions.tgz;ms.calapply.txt	antennapos.csv;cont.dat;flux.csv;flagtemplate;flagtsystemplate;two timetracker JSON;selfcal JSON	weblog;QA2 PDF;QA0 PDF	.ms;_targets.ms;_targets_line.ms	49	Pipescript requests hif_selfcal, but selfcal JSON has scal_targets=[]. Product filenames omit regcal although manifest pl_datatype records it. Weblog contains AQUA and applycal-outlier files.
11	2024.1.00056.S	uid://A001/X3788/X7af3	uid://A001/X3788/X7af1	uid://A001/X3788/X7af2	uid://A002/X1259af3/X28c3	primary_pass	PASS	TM1	4	TDM	6.6.1.17	2024.1.0.8	hifa_calimage	<deleted-scratch>/sample/cycle11/2024.1.00056.S_uid___A001_X3788_X7af3_auxiliary.tar	228995072	15	calibration;log;qa;script	auxproducts.tgz;s1.caltables.tgz;ms.flagversions.tgz;ms.calapply.txt	antennapos.csv;cont.dat with SPW names+Flags;flux.csv;flagtemplate;flagtsystemplate;two timetracker JSON;selfcal JSON;pipeline_stats JSON	weblog;QA2 PDF;QA0 PDF	.ms;_targets.ms;_targets_line.ms	51	Plain hifa_calimage still requests hif_selfcal; selfcal JSON has scal_targets=[]. Manifest adds self manifest element and richer package/level metadata. DataLink science continuum has MT-MFS alpha, alpha.error, pb.tt0, tt0.pbcor, and tt1.pbcor variants.
5	2017.1.00002.S	uid://A001/X1288/X4dd	uid://A001/X1288/X4db	uid://A001/X1288/X4dc	uid://A002/Xd08a99/X1ff	screening_semipass	SEMIPASS	TM1	6	FDM	null	null	none	<deleted-scratch>/sample/cycle5/2017.1.00002.S_uid___A001_X1288_X4dd_auxiliary.tar	1085440	7	qa;script	none	none	QA2 PDF+HTML;two QA0 PDF forms;QA0 HTML	none	not inventoried	Execution count 0.00/1. Auxiliary also has scriptForPI.py and a 3-byte product_rename file, but no calibration/log/weblog/PPR/manifest; these files do not prove processing occurred.
9	2022.1.00007.S	uid://A001/X2d20/X3f39	uid://A001/X2d20/X3f37	uid://A001/X2d20/X3f38	uid://A002/X10c42cc/X4cd7;uid://A002/X10c42cc/X54b5	screening_semipass	SEMIPASS	TM1	5	FDM	null	null	none	<deleted-scratch>/sample/cycle9/2022.1.00007.S_uid___A001_X2d20_X3f39_auxiliary.tar	3499008	4	qa;script	none	none	QA2 PDF;two QA0 PDF	none	not inventoried	QA2 text says no QA0-PASS executions, no reduction/QA2 procedures, raw QA0-SEMIPASS data only. Script payload is only a 32-byte product_rename file.
