id	claim_location	risk	status	claim_or_guardrail	provenance
ARCH-001	SKILL.md#guardrail-1	high	confirmed	Group raw ObsCore rows by member_ous_uid and deduplicate executions by asdm_uid.	Live EU ivoa.obscore; Cycle 13 Archive Manual
ARCH-002	references/archive-query.md#row-granularity	high	corrected	Preserve distinct frequency_support strings with EB/field/science context; one representative MOUS row is unsafe.	Live EU MOUS uid://A001/X3788/X62cc
ARCH-003	references/archive-query.md#high-value-columns	medium	corrected	Introspect TAP_SCHEMA rather than freezing an ObsCore column count.	Live EU TAP_SCHEMA had 73 columns; official notebook static output had 63
ARCH-004	references/archive-query.md#high-value-columns	high	confirmed	t_min/t_max are MJD days, em_min/em_max meters, frequency GHz, bandwidth Hz.	Live TAP_SCHEMA; official archive frequency notebook
ARCH-005	references/archive-query.md#frequency_support-grammar	high	corrected	frequency_support is extensible human-readable text and may include both @10km/s and @native sensitivity.	Live EU ObsCore; Cycle 13 Archive Manual
ARCH-006	references/archive-query.md#frequency_support-grammar	high	corrected	Do not apply a universal Hanning correction or infer raw nchan from archive spectral estimates.	Archive Manual plus release-dependent correlator behavior
ARCH-007	references/archive-query.md#download-preflight	high	new	ObsCore access_estsize is nullable kbyte; DataLink content_length is per-link bytes.	Live TAP_SCHEMA; IVOA DataLink 1.1
ARCH-008	references/archive-query.md#high-value-columns	high	corrected	Current DDT policy has no default proprietary period; an exceptional granted period may be up to six months.	Cycle 13 ALMA Users' Policies §9.4.1
ARCH-009	references/archive-query.md#high-value-columns	medium	new	A year-3000 obs_release_date is a proprietary placeholder, not a literal promise.	Live EU proprietary ObsCore rows
ARCH-010	references/archive-query.md#adql-patterns	medium	corrected	Inspect TAP capabilities; EU advertised ADQL 2.0 on the review date, not automatically latest IVOA ADQL.	Live EU /tap/capabilities; IVOA ADQL 2.1
ARCH-011	references/archive-query.md#endpoints	medium	corrected	Stay on one regional archive for a request and follow returned URLs rather than rewriting hosts.	Cycle 13 Archive Manual; live DataLink
ARCH-012	references/archive-query.md#download-preflight	high	new	Empty anonymous DataLink for a valid proprietary MOUS differs from explicit invalid-ID errors.	Live EU DataLink probes
ID-001	SKILL.md#uid-and-project-code-grammar	high	corrected	A001/A002 are conventions, not entity types; classify from column/package role.	Live Cycle 1 A002 Member OUS uid://A002/X5d7935/X11b
ID-002	references/identifiers-and-packaging.md#uid-grammar-and-sanitization	medium	confirmed	Canonical and sanitized MOUS IDs both worked in tested DataLink requests.	Live EU DataLink probes
PKG-001	SKILL.md#delivered-mous-package	high	confirmed	MOUS is the normal QA2/processing/delivery unit; array siblings are separate MOUSs.	Current Archive and QA2 product manuals
PKG-002	references/identifiers-and-packaging.md#packaging-eras	high	corrected	Historical delivery grouping and current DataLink repackaging are separate axes.	Packaging KB; live Cycle 1 and Cycle 4 DataLink
